dataset,competencia,pais_economia,anio,indicador,dimension,grupo,nivel,valor,valor_2,valor_3,unidad,nota,fuente,archivo_origen
Resultados internacionales 2025,Ciencia,Letonia,2025,Puntaje medio,,,,468,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Letonia,2025,Puntaje medio,,,,430,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Letonia,2025,Puntaje medio,,,,460,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Emiratos Árabes Unidos,2025,Puntaje medio,,,,458,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Emiratos Árabes Unidos,2025,Puntaje medio,,,,433,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Emiratos Árabes Unidos,2025,Puntaje medio,,,,453,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Viet Nam,2025,Puntaje medio,,,,457,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Viet Nam,2025,Puntaje medio,,,,392,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Viet Nam,2025,Puntaje medio,,,,443,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Malta,2025,Puntaje medio,,,,453,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Malta,2025,Puntaje medio,,,,415,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Malta,2025,Puntaje medio,,,,439,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Regiones de Ucrania (17 de 27),2025,Puntaje medio,,,,448,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Regiones de Ucrania (17 de 27),2025,Puntaje medio,,,,418,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Regiones de Ucrania (17 de 27),2025,Puntaje medio,,,,431,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Uruguay,2025,Puntaje medio,,,,445,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Uruguay,2025,Puntaje medio,,,,423,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Uruguay,2025,Puntaje medio,,,,405,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
